"t [pixel] #1","x [pixel] #1","t [pixel] #2","x [pixel] #2","t [pixel] #3","x [pixel] #3","t [pixel] #4","x [pixel] #4","t [pixel] #5","x [pixel] #5","t [pixel] #6","x [pixel] #6","t [pixel] #7","x [pixel] #7","t [pixel] #8","x [pixel] #8","t [pixel] #9","x [pixel] #9","t [pixel] #10","x [pixel] #10","t [pixel] #11","x [pixel] #11","t [pixel] #12","x [pixel] #12","t [pixel] #13","x [pixel] #13","t [pixel] #14","x [pixel] #14","t [pixel] #15","x [pixel] #15"
"","",17.400000000000002,130.4,17.6,101.60000000000001,"","","","",18.400000000000002,0.8,"","",20.8,146.4,22.,46.400000000000006,"","","","","","","","","","","",""
"","",17.6,130.4,17.8,101.60000000000001,"","","","",18.6,0.8,"","",21.,146.4,22.200000000000003,46.400000000000006,"","","","","","","","","","","",""
"","",17.8,130.4,18.,101.60000000000001,"","","","",18.8,0.8,"","",21.200000000000003,146.4,"","","","","","","","","","","","","",""
"","",18.,130.4,18.2,101.60000000000001,"","","","",19.,0.8,"","","","","","","","","","","","","","","","","",""
"","",18.2,130.4,18.400000000000002,101.60000000000001,"","","","",19.200000000000003,0.8,"","","","","","","","","","","","","","","","","",""
"","",18.400000000000002,130.4,18.6,101.60000000000001,"","","","",19.400000000000002,0.8,"","","","","","","","","","","","","","","","","",""
"","",18.6,130.4,18.8,101.60000000000001,"","","","",19.6,0.8,"","","","","","","","","","","","","","","","","",""
"","",18.8,131.20000000000002,19.,101.60000000000001,"","","","",19.8,0.8,"","","","","","","","","","","","","","","","","",""
"","",19.,131.20000000000002,19.200000000000003,101.60000000000001,"","","","",20.,0.8,"","","","","","","","","","","","","","","","","",""
"","",19.200000000000003,131.20000000000002,19.400000000000002,101.60000000000001,"","","","",20.200000000000003,0.8,"","","","","","","","","","","","","","","","","",""
"","",19.400000000000002,131.20000000000002,19.6,101.60000000000001,"","","","",20.400000000000002,0.8,"","","","","","","","","","","","","","","","","",""
"","",19.6,131.20000000000002,19.8,101.60000000000001,"","","","",20.6,0.8,"","","","","","","","","","","","","","","","","",""
"","",19.8,132.,20.,101.60000000000001,"","","","",20.8,0.8,"","","","","","","","","","","","","","","","","",""
"","",20.,132.,20.200000000000003,101.60000000000001,"","","","",21.,0.8,"","","","","","","","","","","","","","","","","",""
