"t [pixel] #1","x [pixel] #1","t [pixel] #2","x [pixel] #2","t [pixel] #3","x [pixel] #3","t [pixel] #4","x [pixel] #4","t [pixel] #5","x [pixel] #5","t [pixel] #6","x [pixel] #6","t [pixel] #7","x [pixel] #7","t [pixel] #8","x [pixel] #8","t [pixel] #9","x [pixel] #9","t [pixel] #10","x [pixel] #10","t [pixel] #11","x [pixel] #11","t [pixel] #12","x [pixel] #12","t [pixel] #13","x [pixel] #13","t [pixel] #14","x [pixel] #14","t [pixel] #15","x [pixel] #15","t [pixel] #16","x [pixel] #16","t [pixel] #17","x [pixel] #17","t [pixel] #18","x [pixel] #18","t [pixel] #19","x [pixel] #19","t [pixel] #20","x [pixel] #20","t [pixel] #21","x [pixel] #21","t [pixel] #22","x [pixel] #22","t [pixel] #23","x [pixel] #23","t [pixel] #24","x [pixel] #24","t [pixel] #25","x [pixel] #25","t [pixel] #26","x [pixel] #26","t [pixel] #27","x [pixel] #27","t [pixel] #28","x [pixel] #28","t [pixel] #29","x [pixel] #29","t [pixel] #30","x [pixel] #30","t [pixel] #31","x [pixel] #31","t [pixel] #32","x [pixel] #32","t [pixel] #33","x [pixel] #33","t [pixel] #34","x [pixel] #34","t [pixel] #35","x [pixel] #35","t [pixel] #36","x [pixel] #36"
27.,26.400000000000002,"","",27.,116.,"","","","",27.,164.8,"","",27.,169.60000000000002,27.,200.,27.200000000000003,60.800000000000004,"","",27.200000000000003,181.60000000000002,"","","","",28.6,11.200000000000001,"","","","",28.6,39.2,"","",35.4,15.200000000000001,"","","","",32.,62.400000000000006,"","","","","","","","","","","","","","","","","","","","",30.,96.,"","","",""
27.200000000000003,27.200000000000003,"","",27.200000000000003,116.,"","","","",27.200000000000003,165.60000000000002,"","",27.200000000000003,169.60000000000002,27.200000000000003,200.,27.400000000000002,61.6,"","",27.400000000000002,181.60000000000002,"","","","",28.8,11.200000000000001,"","","","",28.8,39.2,"","",35.6,15.200000000000001,"","","","",32.2,62.400000000000006,"","","","","","","","","","","","","","","","","","","","",30.200000000000003,96.,"","","",""
27.400000000000002,27.200000000000003,"","",27.400000000000002,116.80000000000001,"","","","",27.400000000000002,166.4,"","",27.400000000000002,169.60000000000002,27.400000000000002,200.,27.6,62.400000000000006,"","",27.6,181.60000000000002,"","","","",29.,11.200000000000001,"","","","",29.,39.2,"","",35.800000000000004,15.200000000000001,"","","","",32.4,62.400000000000006,"","","","","","","","","","","","","","","","","","","","",30.400000000000002,96.,"","","",""
27.6,27.200000000000003,"","",27.6,117.60000000000001,"","","","",27.6,166.4,"","",27.6,169.60000000000002,27.6,200.,27.8,62.400000000000006,"","",27.8,181.60000000000002,"","","","",29.200000000000003,11.200000000000001,"","","","",29.200000000000003,39.2,"","",36.,15.200000000000001,"","","","",32.6,62.400000000000006,"","","","","","","","","","","","","","","","","","","","",30.6,96.,"","","",""
27.8,27.200000000000003,"","",27.8,117.60000000000001,"","","","",27.8,166.4,"","",27.8,169.60000000000002,27.8,200.,28.,62.400000000000006,"","",28.,181.60000000000002,"","","","",29.400000000000002,12.,"","","","",29.400000000000002,39.2,"","",36.2,15.200000000000001,"","","","",32.800000000000004,63.2,"","","","","","","","","","","","","","","","","","","","",30.8,96.,"","","",""
28.,27.200000000000003,"","",28.,118.4,"","","","",28.,166.4,"","",28.,169.60000000000002,28.,200.,28.200000000000003,62.400000000000006,"","",28.200000000000003,181.60000000000002,"","","","",29.6,12.,"","","","",29.6,39.2,"","",36.4,15.200000000000001,"","","","",33.,63.2,"","","","","","","","","","","","","","","","","","","","",31.,96.,"","","",""
28.200000000000003,27.200000000000003,"","",28.200000000000003,119.2,"","","","",28.200000000000003,167.20000000000002,"","",28.200000000000003,169.60000000000002,28.200000000000003,200.,28.400000000000002,62.400000000000006,"","",28.400000000000002,181.60000000000002,"","","","",29.8,12.8,"","","","",29.8,39.2,"","",36.6,15.200000000000001,"","","","",33.2,63.2,"","","","","","","","","","","","","","","","","","","","",31.200000000000003,96.,"","","",""
28.400000000000002,27.200000000000003,"","",28.400000000000002,120.,"","","","",28.400000000000002,167.20000000000002,"","",28.400000000000002,168.8,28.400000000000002,200.,28.6,63.2,"","",28.6,181.60000000000002,"","","","","","","","","","",30.,39.2,"","",36.800000000000004,15.200000000000001,"","","","",33.4,64.,"","","","","","","","","","","","","","","","","","","","",31.400000000000002,96.,"","","",""
28.6,27.200000000000003,"","",28.6,120.80000000000001,"","","","","","","","",28.6,168.,28.6,200.,28.8,63.2,"","",28.8,181.60000000000002,"","","","","","","","","","",30.200000000000003,39.2,"","",37.,15.200000000000001,"","","","",33.6,64.8,"","","","","","","","","","","","","","","","","","","","",31.6,96.,"","","",""
28.8,27.200000000000003,"","",28.8,120.80000000000001,"","","","","","","","",28.8,168.8,28.8,200.,29.,63.2,"","",29.,181.60000000000002,"","","","","","","","","","",30.400000000000002,39.2,"","",37.2,15.200000000000001,"","","","",33.800000000000004,64.8,"","","","","","","","","","","","","","","","","","","","",31.8,96.,"","","",""
